Index,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore
899,female,group C,some high school,standard,none,divorced,regularly,yes,2,school_bus,> 10,78,76,74,76.00
900,male,group B,high school,standard,none,married,sometimes,yes,0,school_bus,10-May,68,53,53,58.00
901,female,group A,high school,free/reduced,none,married,sometimes,yes,0,private,< 5,45,63,61,56.33
902,male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,1,school_bus,> 10,75,87,78,80.00
903,female,group C,bachelor's degree,free/reduced,none,married,regularly,yes,3,school_bus,< 5,50,66,67,61.00
904,male,group E,,standard,completed,married,regularly,no,,,> 10,86,77,80,81.00
905,female,group D,associate's degree,standard,none,married,sometimes,no,2,private,10-May,51,57,59,55.67
906,female,group B,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,,64,64,67,65.00
907,male,group C,some high school,free/reduced,none,married,sometimes,yes,0,private,> 10,36,46,35,39.00
908,female,group B,high school,standard,completed,single,regularly,yes,2,school_bus,10-May,76,80,89,81.67
909,male,group A,some high school,standard,none,married,regularly,yes,2,school_bus,10-May,62,63,55,60.00
910,male,group D,some high school,standard,none,married,never,yes,2,school_bus,10-May,80,76,77,77.67
911,female,group B,bachelor's degree,standard,none,widowed,regularly,yes,0,school_bus,10-May,75,96,94,88.33
912,female,group D,some high school,free/reduced,none,single,regularly,yes,2,school_bus,< 5,40,49,47,45.33
913,male,group C,some college,standard,none,married,never,yes,1,school_bus,> 10,48,42,39,43.00
914,female,group E,high school,standard,completed,single,regularly,yes,1,private,> 10,93,100,100,97.67
915,female,group B,master's degree,standard,completed,divorced,regularly,yes,1,,> 10,72,77,82,77.00
916,female,group C,high school,standard,none,single,sometimes,yes,3,school_bus,< 5,49,58,53,53.33
917,male,group E,high school,standard,none,married,sometimes,yes,2,private,10-May,79,77,71,75.67
918,female,group C,some college,standard,none,married,sometimes,yes,2,school_bus,> 10,71,80,78,76.33
919,male,,some high school,standard,none,married,sometimes,yes,3,school_bus,10-May,62,68,62,64.00
921,female,group D,some college,standard,none,married,,no,2,school_bus,10-May,71,78,76,75.00
922,male,group D,master's degree,free/reduced,none,married,sometimes,yes,0,school_bus,,55,57,57,56.33
923,male,group A,associate's degree,standard,none,married,sometimes,,3,school_bus,10-May,81,75,75,77.00
924,female,group D,some college,free/reduced,none,married,sometimes,yes,3,,< 5,57,77,72,68.67
925,male,group B,some high school,standard,completed,married,sometimes,no,2,,< 5,79,77,75,77.00
926,female,group C,,standard,none,married,sometimes,no,2,private,,43,51,49,47.67
927,female,group D,some college,free/reduced,none,single,regularly,,0,private,10-May,63,74,69,68.67
928,male,group C,some college,free/reduced,none,married,sometimes,yes,2,private,< 5,52,64,56,57.33
929,male,group A,high school,standard,none,married,sometimes,yes,3,school_bus,< 5,48,44,41,44.33
930,female,group C,high school,standard,completed,married,never,yes,1,school_bus,< 5,59,74,79,70.67
931,female,group E,some college,free/reduced,none,single,regularly,yes,5,school_bus,< 5,48,50,52,50.00
932,female,group C,some high school,standard,completed,married,sometimes,yes,0,private,10-May,72,83,87,80.67
933,female,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,< 5,50,58,57,55.00
934,male,group C,some high school,standard,none,,sometimes,yes,4,private,> 10,77,78,71,75.33
935,male,group B,master's degree,free/reduced,completed,divorced,never,yes,4,school_bus,> 10,66,81,76,74.33
936,male,group E,associate's degree,free/reduced,completed,single,sometimes,,2,school_bus,10-May,76,69,69,71.33
937,male,group B,master's degree,standard,none,single,regularly,yes,,private,10-May,97,93,94,94.67
938,female,group D,high school,standard,none,married,sometimes,yes,4,school_bus,10-May,71,66,62,66.33
939,female,group E,some college,free/reduced,none,single,regularly,yes,2,school_bus,10-May,70,70,73,71.00
940,female,group A,some college,standard,none,married,regularly,no,1,private,< 5,35,43,40,39.33
941,male,group B,associate's degree,standard,none,married,regularly,yes,1,private,10-May,48,47,41,45.33
942,female,,,standard,none,single,sometimes,no,3,school_bus,10-May,62,79,71,70.67
943,male,group C,associate's degree,free/reduced,none,married,regularly,yes,2,school_bus,10-May,59,62,55,58.67
944,female,group C,some high school,standard,none,widowed,sometimes,no,3,school_bus,10-May,56,70,70,65.33
945,male,group E,master's degree,standard,,married,regularly,yes,1,school_bus,< 5,98,89,93,93.33
946,female,group A,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,< 5,68,78,71,72.33
947,female,group D,some college,free/reduced,none,,regularly,no,1,school_bus,10-May,51,49,56,52.00
948,female,,high school,free/reduced,completed,married,sometimes,yes,2,school_bus,10-May,20,31,33,28.00
949,female,group B,some high school,standard,completed,married,regularly,no,3,private,10-May,62,74,79,71.67
950,female,group B,master's degree,standard,completed,divorced,sometimes,yes,,private,10-May,72,78,82,77.33
951,female,group E,some high school,standard,none,divorced,sometimes,yes,0,private,10-May,90,98,97,95.00
952,female,group E,master's degree,standard,none,divorced,,no,,private,10-May,87,100,93,93.33
953,female,group C,bachelor's degree,free/reduced,none,divorced,regularly,yes,4,school_bus,10-May,58,63,66,62.33
954,male,group B,high school,standard,none,married,regularly,yes,2,,> 10,58,52,52,54.00
955,female,group C,associate's degree,standard,none,married,sometimes,yes,3,school_bus,10-May,63,66,60,63.00
956,female,group D,some college,free/reduced,completed,single,sometimes,yes,2,school_bus,< 5,69,83,81,77.67
957,female,group C,some college,free/reduced,none,married,never,yes,3,private,10-May,38,48,47,44.33
958,female,group B,some college,standard,,married,regularly,yes,1,,< 5,93,99,100,97.33
959,female,group E,some college,standard,none,married,sometimes,yes,3,school_bus,10-May,85,87,81,84.33
960,female,group D,high school,free/reduced,none,married,never,yes,,private,> 10,50,52,52,51.33
962,male,group D,some college,free/reduced,none,married,sometimes,yes,5,private,< 5,48,55,46,49.67
963,female,group D,,free/reduced,none,married,regularly,yes,1,school_bus,10-May,57,70,72,66.33
964,male,group B,some college,free/reduced,none,married,sometimes,no,1,private,10-May,48,48,39,45.00
965,male,group E,some high school,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,62,61,49,57.33
966,male,group B,high school,standard,none,,sometimes,yes,0,school_bus,10-May,82,78,78,79.33
967,female,group C,some high school,standard,none,married,sometimes,no,1,school_bus,10-May,88,87,84,86.33
968,female,group E,some college,standard,none,divorced,never,yes,1,,10-May,50,55,51,52.00
969,male,group D,some college,standard,none,married,sometimes,no,1,private,10-May,79,78,72,76.33
970,female,group C,some college,free/reduced,none,married,never,no,1,private,< 5,61,68,67,65.33
971,male,group C,associate's degree,free/reduced,none,married,regularly,no,3,private,10-May,82,85,78,81.67
972,female,group B,associate's degree,standard,completed,single,never,yes,2,private,< 5,84,97,94,91.67
973,male,group C,master's degree,free/reduced,completed,married,sometimes,yes,2,school_bus,10-May,86,83,78,82.33
974,male,group B,some college,standard,none,married,regularly,yes,5,private,10-May,79,70,70,73.00
975,male,group D,some high school,free/reduced,completed,married,sometimes,no,1,school_bus,10-May,64,73,66,67.67
976,male,group B,some high school,standard,completed,divorced,never,yes,1,school_bus,10-May,70,65,65,66.67
977,male,group B,some high school,free/reduced,none,married,never,yes,3,,10-May,50,52,45,49.00
978,male,group C,,free/reduced,none,married,never,no,5,school_bus,< 5,46,41,38,41.67
979,male,,some high school,free/reduced,none,married,regularly,yes,,school_bus,10-May,48,57,45,50.00
980,female,group B,associate's degree,standard,none,married,regularly,yes,2,,> 10,79,76,77,77.33
981,female,group D,bachelor's degree,standard,completed,single,regularly,no,3,private,10-May,38,58,64,53.33
982,female,group D,some college,standard,none,single,never,yes,1,school_bus,10-May,62,66,66,64.67
983,female,group E,some high school,free/reduced,completed,divorced,sometimes,no,2,private,10-May,56,70,65,63.67
984,male,group A,bachelor's degree,standard,completed,married,regularly,yes,,private,< 5,70,75,72,72.33
985,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,0,private,10-May,62,77,78,72.33
986,female,group C,some college,free/reduced,none,married,regularly,no,4,school_bus,10-May,53,65,67,61.67
987,female,group B,bachelor's degree,standard,completed,married,sometimes,yes,2,private,< 5,66,82,85,77.67
988,male,group C,some high school,standard,none,divorced,sometimes,no,4,school_bus,< 5,77,77,72,75.33
989,male,group C,master's degree,standard,none,single,regularly,no,1,school_bus,> 10,71,59,61,63.67
990,male,group E,,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,76,83,76,78.33
991,female,group E,some high school,standard,none,married,regularly,yes,0,school_bus,> 10,91,81,81,84.33
992,male,group A,high school,free/reduced,none,married,sometimes,no,3,private,< 5,63,65,59,62.33
993,female,group D,some high school,free/reduced,completed,married,never,yes,1,school_bus,10-May,48,65,68,60.33
994,male,group B,,free/reduced,none,married,regularly,no,2,school_bus,< 5,46,45,41,44.00
995,male,group C,associate's degree,standard,completed,married,never,yes,4,private,> 10,69,64,68,67.00
996,female,group B,some college,free/reduced,none,married,sometimes,yes,3,school_bus,10-May,54,71,68,64.33
997,male,group D,some high school,standard,none,married,regularly,no,1,private,< 5,85,83,81,83.00
998,female,group E,some high school,standard,completed,single,never,no,2,,10-May,57,67,72,65.33
999,female,group D,associate's degree,standard,completed,married,regularly,yes,0,school_bus,< 5,63,78,82,74.33
0,female,group C,associate's degree,free/reduced,none,married,sometimes,no,2,private,,79,89,82,83.33
1,male,group D,some high school,free/reduced,,married,sometimes,yes,3,school_bus,10-May,79,85,80,81.33
2,male,group B,associate's degree,free/reduced,none,divorced,regularly,yes,1,private,10-May,52,46,51,49.67
3,female,group D,some college,standard,completed,married,sometimes,yes,3,school_bus,> 10,59,65,70,64.67
4,male,group C,some college,standard,none,married,never,no,7,,10-May,47,43,39,43.00
5,male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,3,,10-May,60,61,62,61.00
6,male,,master's degree,standard,none,married,regularly,yes,0,school_bus,< 5,72,66,64,67.33
7,male,group E,high school,standard,completed,married,sometimes,yes,,school_bus,10-May,74,62,61,65.67
8,female,group C,some college,standard,none,married,sometimes,no,1,school_bus,> 10,38,46,46,43.33
9,female,group C,associate's degree,standard,completed,married,regularly,no,3,school_bus,> 10,62,64,63,63.00
10,female,group D,high school,standard,none,married,sometimes,yes,4,school_bus,10-May,63,65,67,65.00
11,female,group C,master's degree,standard,completed,divorced,regularly,yes,3,private,10-May,85,91,100,92.00
12,female,group B,some college,standard,,single,regularly,no,2,school_bus,< 5,86,80,89,85.00
13,female,group E,bachelor's degree,free/reduced,none,married,regularly,yes,0,private,> 10,75,75,74,74.67
14,male,group C,some high school,free/reduced,none,married,sometimes,yes,3,,10-May,41,47,41,43.00
15,male,group B,some high school,standard,none,married,sometimes,yes,1,private,< 5,67,60,60,62.33
16,male,group B,master's degree,standard,completed,married,regularly,yes,3,private,10-May,100,100,98,99.33
17,male,group B,high school,standard,none,divorced,regularly,yes,2,,< 5,64,64,57,61.67
18,male,group C,bachelor's degree,standard,none,divorced,never,yes,0,school_bus,< 5,71,69,69,69.67
19,female,group C,some college,standard,none,married,regularly,yes,0,school_bus,10-May,76,89,84,83.00
20,female,,master's degree,standard,completed,married,sometimes,yes,5,school_bus,10-May,87,100,100,95.67
21,male,group D,bachelor's degree,standard,none,single,never,yes,5,school_bus,10-May,69,64,68,67.00
22,female,group C,high school,free/reduced,completed,married,regularly,yes,1,private,10-May,27,45,45,39.00
23,male,group B,high school,standard,completed,married,sometimes,no,2,,> 10,59,66,61,62.00
24,female,,master's degree,standard,none,,sometimes,yes,1,school_bus,< 5,72,77,82,77.00
25,female,group D,master's degree,free/reduced,none,single,regularly,no,1,school_bus,> 10,80,97,94,90.33
26,female,group E,associate's degree,free/reduced,completed,married,sometimes,no,3,school_bus,< 5,69,80,78,75.67
27,female,group C,,standard,none,married,never,yes,3,school_bus,10-May,75,85,84,81.33
28,female,group C,high school,free/reduced,none,married,regularly,no,1,private,> 10,58,74,76,69.33
29,male,group B,some college,standard,,married,regularly,no,1,school_bus,10-May,67,66,65,66.00
30,female,group C,some college,standard,completed,divorced,sometimes,yes,3,school_bus,< 5,48,65,63,58.67
31,female,group B,associate's degree,standard,none,single,sometimes,no,4,school_bus,< 5,54,64,61,59.67
32,male,group C,some college,free/reduced,none,married,sometimes,yes,0,school_bus,10-May,55,47,44,48.67
33,female,group B,some high school,free/reduced,completed,married,sometimes,yes,,school_bus,10-May,69,75,79,74.33
34,male,,some high school,standard,completed,married,regularly,yes,4,school_bus,10-May,64,64,67,65.00
35,female,group B,associate's degree,free/reduced,completed,married,regularly,no,3,school_bus,10-May,46,71,76,64.33
36,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,64,66,61,63.67
37,male,group D,some high school,standard,completed,married,never,,0,school_bus,< 5,49,42,48,46.33
38,female,group D,some high school,standard,none,married,regularly,yes,3,school_bus,,76,79,84,79.67
39,female,group C,some high school,standard,,married,regularly,yes,2,school_bus,10-May,76,82,90,82.67
40,male,group B,some college,standard,none,single,sometimes,no,4,school_bus,> 10,52,47,47,48.67
41,female,group D,associate's degree,standard,none,married,regularly,yes,0,school_bus,< 5,78,86,89,84.33
42,male,group D,some college,standard,none,married,never,no,2,school_bus,> 10,66,65,60,63.67
44,female,group D,associate's degree,standard,none,married,sometimes,yes,2,private,10-May,84,86,84,84.67
45,female,group B,high school,standard,none,divorced,sometimes,yes,4,school_bus,10-May,85,94,90,89.67
46,female,group C,some college,standard,completed,married,sometimes,no,2,,< 5,71,83,84,79.33
47,male,group C,some high school,free/reduced,none,married,regularly,no,3,school_bus,10-May,63,51,49,54.33
48,male,group A,high school,standard,none,married,sometimes,yes,1,private,> 10,86,59,65,70.00
49,female,group D,,free/reduced,none,single,regularly,no,3,school_bus,< 5,47,52,57,52.00
50,male,group B,some college,standard,none,married,sometimes,no,3,school_bus,10-May,88,66,68,74.00
52,female,group E,high school,standard,none,married,regularly,yes,3,school_bus,10-May,81,86,87,84.67
53,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,1,,< 5,66,78,77,73.67
54,female,group E,some college,standard,none,married,sometimes,no,2,private,,68,78,72,72.67
55,female,group D,some high school,free/reduced,none,married,sometimes,no,,school_bus,> 10,46,54,59,53.00
56,male,group C,some college,standard,none,divorced,never,yes,5,private,10-May,36,35,39,36.67
57,female,group E,high school,free/reduced,none,married,sometimes,yes,2,private,10-May,75,70,63,69.33
58,male,group B,some college,standard,none,married,sometimes,yes,2,school_bus,< 5,64,63,57,61.33
59,male,group D,some high school,standard,completed,single,regularly,yes,0,school_bus,< 5,67,64,61,64.00
60,female,group B,associate's degree,standard,completed,single,sometimes,yes,3,school_bus,> 10,85,94,100,93.00
61,female,group C,master's degree,standard,,married,regularly,yes,2,private,10-May,83,89,92,88.00
62,male,group C,master's degree,standard,none,single,regularly,yes,2,school_bus,< 5,92,84,84,86.67
63,female,group D,bachelor's degree,standard,none,single,sometimes,no,2,school_bus,10-May,62,75,69,68.67
64,female,group D,some college,standard,completed,married,,no,2,school_bus,10-May,44,51,53,49.33
65,male,group E,bachelor's degree,standard,,married,sometimes,yes,5,private,,100,94,90,94.67
66,male,group D,master's degree,standard,none,married,sometimes,yes,1,school_bus,10-May,79,81,81,80.33
67,female,group A,some high school,standard,none,single,sometimes,yes,,private,10-May,72,76,76,74.67
68,female,group C,some college,standard,none,divorced,sometimes,yes,4,,< 5,81,89,86,85.33
69,male,group C,some college,free/reduced,none,divorced,sometimes,no,1,,< 5,55,69,62,62.00
70,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,2,,< 5,57,58,58,57.67
71,female,group B,associate's degree,standard,none,divorced,sometimes,no,1,private,> 10,81,86,87,84.67
72,male,group B,high school,free/reduced,none,single,sometimes,no,3,private,< 5,63,55,56,58.00
73,female,group E,,standard,none,married,regularly,no,2,private,10-May,75,73,75,74.33
74,female,group D,some high school,standard,none,married,sometimes,yes,1,school_bus,< 5,59,68,69,65.33
75,male,group C,associate's degree,standard,none,single,sometimes,yes,1,private,10-May,67,62,63,64.00
76,female,group B,associate's degree,standard,completed,single,regularly,yes,1,school_bus,10-May,69,91,93,84.33
77,female,group D,high school,standard,none,married,,yes,0,school_bus,10-May,54,63,66,61.00
78,male,group C,some college,free/reduced,none,married,sometimes,yes,3,private,< 5,64,65,58,62.33
79,female,group E,high school,free/reduced,none,divorced,regularly,yes,1,school_bus,< 5,49,69,67,61.67
80,female,group C,master's degree,standard,completed,single,sometimes,yes,3,school_bus,10-May,98,100,100,99.33
81,female,group C,some college,standard,completed,single,sometimes,yes,3,private,< 5,34,57,49,46.67
82,male,group D,high school,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,57,65,60,60.67
83,male,group E,bachelor's degree,standard,completed,divorced,regularly,yes,0,,10-May,86,79,75,80.00
84,male,group A,some college,standard,completed,married,sometimes,yes,1,school_bus,< 5,74,78,72,74.67
85,female,group C,some high school,free/reduced,completed,married,never,no,3,,> 10,37,62,58,52.33
86,male,group D,high school,free/reduced,none,single,sometimes,no,,private,< 5,63,56,48,55.67
87,male,group D,some high school,standard,completed,married,regularly,yes,0,school_bus,> 10,77,61,70,69.33
88,male,group A,some college,free/reduced,none,married,sometimes,yes,4,school_bus,10-May,67,61,57,61.67
89,female,group C,some college,free/reduced,none,married,sometimes,yes,0,private,10-May,35,47,52,44.67
90,female,group C,some high school,standard,completed,married,regularly,yes,1,school_bus,10-May,63,73,70,68.67
91,female,group A,high school,standard,completed,married,sometimes,no,2,private,10-May,69,62,64,65.00
92,female,group D,associate's degree,standard,none,married,regularly,yes,,private,10-May,48,53,55,52.00
93,female,group D,some high school,free/reduced,none,widowed,sometimes,yes,4,private,10-May,69,81,80,76.67
94,female,group B,associate's degree,standard,completed,married,sometimes,no,1,school_bus,10-May,78,98,90,88.67
95,female,group E,associate's degree,free/reduced,completed,married,regularly,yes,0,school_bus,10-May,62,70,72,68.00
96,female,group C,bachelor's degree,standard,none,married,regularly,yes,1,private,10-May,66,75,78,73.00
97,male,group C,associate's degree,standard,none,,regularly,yes,2,private,> 10,89,81,81,83.67
98,male,group A,bachelor's degree,standard,none,married,sometimes,no,2,private,10-May,64,51,54,56.33
100,male,group C,associate's degree,standard,none,married,sometimes,no,2,private,10-May,78,75,73,75.33
101,female,group C,high school,standard,none,married,never,yes,2,school_bus,10-May,50,55,59,54.67
102,female,group C,master's degree,standard,none,single,regularly,yes,3,private,> 10,75,86,84,81.67
103,female,group E,some college,free/reduced,none,divorced,regularly,no,1,private,< 5,31,44,42,39.00
104,female,group C,bachelor's degree,standard,none,single,regularly,yes,,private,< 5,76,71,77,74.67
105,male,group E,some high school,free/reduced,completed,divorced,sometimes,no,3,school_bus,10-May,61,62,49,57.33
106,male,group E,master's degree,free/reduced,none,divorced,sometimes,yes,4,school_bus,10-May,87,77,77,80.33
107,female,,,standard,none,married,regularly,no,2,school_bus,< 5,37,40,43,40.00
108,female,group E,associate's degree,standard,none,single,sometimes,yes,1,school_bus,> 10,65,62,66,64.33
109,female,group C,some college,standard,none,married,sometimes,no,3,school_bus,10-May,41,55,60,52.00
110,male,group C,,standard,none,,sometimes,no,4,private,,84,79,79,80.67
111,female,group C,some high school,standard,,widowed,regularly,yes,3,school_bus,> 10,63,66,65,64.67
112,male,group C,some high school,free/reduced,none,single,sometimes,no,2,school_bus,10-May,50,54,49,51.00
113,male,group C,associate's degree,standard,none,single,sometimes,yes,2,school_bus,10-May,84,74,71,76.33
114,male,group E,bachelor's degree,standard,none,single,regularly,yes,2,school_bus,< 5,78,73,66,72.33
115,male,group D,high school,standard,none,married,regularly,yes,0,private,10-May,78,72,73,74.33
116,female,group D,some high school,standard,completed,single,sometimes,no,2,school_bus,10-May,55,58,61,58.00
117,female,group C,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,10-May,58,70,72,66.67
118,female,group B,bachelor's degree,free/reduced,none,single,sometimes,no,1,private,< 5,68,81,83,77.33
119,male,group B,some college,free/reduced,completed,married,regularly,yes,0,school_bus,< 5,46,36,41,41.00
120,female,group E,bachelor's degree,free/reduced,none,single,sometimes,no,3,school_bus,10-May,78,94,91,87.67
121,male,group B,associate's degree,standard,,married,sometimes,yes,1,,10-May,80,85,80,81.67
122,male,group C,associate's degree,standard,none,divorced,regularly,yes,2,school_bus,10-May,83,88,78,83.00
123,male,group B,some high school,standard,none,married,regularly,yes,2,private,10-May,58,55,50,54.33
124,male,group C,some high school,free/reduced,none,married,sometimes,yes,3,private,< 5,56,58,47,53.67
126,female,group C,master's degree,standard,none,married,never,no,7,school_bus,< 5,84,89,89,87.33
127,female,group D,some high school,standard,none,single,regularly,yes,0,school_bus,10-May,67,70,77,71.33
128,male,group C,master's degree,free/reduced,none,single,regularly,no,6,private,< 5,82,79,85,82.00
129,female,group E,master's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,81,87,85.33
130,male,group E,high school,standard,none,single,regularly,yes,,school_bus,10-May,92,81,85,86.00
131,male,group D,high school,standard,completed,,sometimes,yes,0,school_bus,< 5,95,84,92,90.33
132,male,group D,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,76,72,64,70.67
133,male,group C,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,10-May,66,60,57,61.00
134,male,group D,some high school,standard,none,single,sometimes,yes,2,private,10-May,75,73,65,71.00
135,female,group B,master's degree,free/reduced,completed,married,sometimes,no,3,school_bus,10-May,64,72,72,69.33
136,female,group A,high school,standard,,single,regularly,yes,1,school_bus,> 10,72,76,76,74.67
137,female,group C,some high school,standard,completed,married,sometimes,yes,2,private,< 5,52,72,67,63.67
138,female,group D,some high school,standard,none,married,never,yes,,private,10-May,53,65,61,59.67
139,male,group D,master's degree,standard,,single,sometimes,yes,2,school_bus,> 10,62,56,55,57.67
140,female,group C,some high school,standard,none,single,regularly,yes,1,,10-May,76,82,74,77.33
141,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,< 5,73,64,63,66.67
142,female,group C,some college,standard,completed,single,never,no,1,private,< 5,70,93,87,83.33
143,female,group B,,standard,none,married,regularly,yes,2,school_bus,< 5,85,88,83,85.33
144,male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,67,74,64,68.33
145,male,group E,some college,standard,none,single,sometimes,yes,1,school_bus,10-May,77,71,68,72.00
146,male,group C,high school,standard,none,divorced,sometimes,,1,private,< 5,66,59,55,60.00
147,female,group E,master's degree,standard,,married,sometimes,yes,2,school_bus,10-May,81,84,79,81.33
148,male,,some high school,free/reduced,none,married,regularly,no,2,school_bus,> 10,88,80,78,82.00
149,male,group D,some college,standard,completed,single,sometimes,yes,3,private,> 10,72,51,54,59.00
150,female,group B,associate's degree,free/reduced,completed,single,regularly,no,5,school_bus,> 10,70,74,72,72.00
152,male,group A,some high school,standard,none,widowed,sometimes,yes,0,private,10-May,92,86,78,85.33
153,male,group C,,standard,none,single,regularly,no,1,private,10-May,74,66,62,67.33
154,female,group E,some college,standard,none,married,sometimes,yes,2,school_bus,10-May,75,74,71,73.33
155,female,group D,some college,standard,completed,single,regularly,yes,3,private,< 5,99,99,100,99.33
156,female,group E,,free/reduced,none,married,never,yes,2,,10-May,74,78,83,78.33
157,female,group B,high school,standard,none,single,regularly,yes,1,,10-May,85,94,84,87.67
158,male,group B,some college,standard,completed,married,regularly,yes,1,school_bus,10-May,81,76,75,77.33
159,male,group C,high school,standard,completed,married,sometimes,yes,1,,> 10,74,78,75,75.67
160,male,group B,some high school,standard,completed,married,regularly,no,1,school_bus,> 10,59,57,61,59.00
161,male,group B,master's degree,free/reduced,completed,divorced,regularly,yes,5,school_bus,10-May,79,66,71,72.00
162,female,group E,some college,standard,completed,married,regularly,yes,1,school_bus,10-May,70,64,69,67.67
163,female,,bachelor's degree,standard,completed,married,never,,1,private,> 10,96,95,99,96.67
165,female,group C,,standard,none,single,never,yes,2,school_bus,> 10,53,61,57,57.00
166,male,group C,master's degree,standard,completed,married,sometimes,yes,2,school_bus,10-May,94,91,97,94.00
167,female,group C,some high school,standard,none,single,regularly,no,1,,10-May,63,69,62,64.67
168,female,group B,associate's degree,standard,none,single,sometimes,yes,4,school_bus,> 10,76,94,83,84.33
170,female,group D,some high school,standard,completed,married,regularly,yes,2,school_bus,> 10,37,61,63,53.67
171,female,group D,bachelor's degree,standard,completed,single,sometimes,yes,1,school_bus,10-May,67,91,95,84.33
172,female,group B,master's degree,free/reduced,completed,married,regularly,yes,1,school_bus,< 5,75,92,90,85.67
173,male,group B,,standard,none,single,regularly,yes,0,school_bus,10-May,97,92,87,92.00
174,male,group D,some college,free/reduced,none,widowed,sometimes,yes,2,private,10-May,66,59,61,62.00
175,female,group B,high school,standard,none,divorced,sometimes,no,6,school_bus,10-May,55,76,69,66.67
176,male,group E,high school,standard,none,married,sometimes,yes,1,,10-May,77,64,58,66.33
177,female,group C,,standard,none,married,sometimes,no,2,,10-May,46,66,70,60.67
178,male,group E,some high school,standard,none,married,sometimes,yes,3,private,< 5,94,80,72,82.00
179,male,group E,some college,free/reduced,none,divorced,regularly,no,2,school_bus,> 10,86,80,76,80.67
180,male,group C,some high school,standard,none,married,sometimes,yes,2,school_bus,< 5,46,39,38,41.00
181,female,group D,some high school,free/reduced,none,divorced,regularly,yes,2,school_bus,> 10,59,74,75,69.33
182,male,group D,high school,standard,none,divorced,sometimes,yes,5,private,> 10,61,57,56,58.00
183,male,group B,bachelor's degree,free/reduced,none,married,regularly,yes,4,school_bus,< 5,35,32,33,33.33
184,female,,some college,standard,none,divorced,never,yes,1,school_bus,< 5,63,67,65,65.00
185,male,group B,some college,standard,none,married,regularly,yes,3,,10-May,86,68,73,75.67
186,male,,master's degree,free/reduced,none,divorced,regularly,yes,0,private,10-May,58,62,60,60.00
187,female,group D,some college,free/reduced,none,married,sometimes,yes,3,private,> 10,61,71,79,70.33
188,female,group E,associate's degree,standard,none,married,regularly,yes,0,school_bus,10-May,91,94,94,93.00
189,female,group E,bachelor's degree,free/reduced,completed,divorced,never,yes,0,private,10-May,85,98,97,93.33
190,female,group D,high school,free/reduced,completed,married,regularly,yes,1,school_bus,> 10,41,54,57,50.67
191,female,group B,some college,standard,none,married,never,no,3,private,> 10,56,70,69,65.00
192,female,group C,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,10-May,56,75,79,70.00
193,male,group A,some college,free/reduced,none,married,regularly,yes,0,,10-May,35,34,35,34.67
194,male,group A,high school,standard,completed,divorced,sometimes,yes,4,school_bus,,64,58,59,60.33
195,female,group C,some college,free/reduced,none,single,sometimes,yes,1,school_bus,10-May,36,45,48,43.00
196,male,group D,high school,free/reduced,none,divorced,sometimes,yes,1,private,10-May,46,41,46,44.33
197,female,group D,master's degree,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,49,57,58,54.67
198,male,group A,associate's degree,standard,completed,married,regularly,yes,3,private,< 5,58,55,57,56.67
199,female,group C,some college,standard,none,single,sometimes,no,6,,10-May,72,73,83,76.00
200,female,group B,some high school,standard,none,married,regularly,yes,3,school_bus,10-May,63,74,70,69.00
201,male,group D,some high school,standard,none,single,regularly,yes,5,school_bus,< 5,80,73,66,73.00
202,male,group C,some college,standard,none,married,never,no,3,private,10-May,64,71,62,65.67
203,female,group B,some college,standard,completed,married,regularly,yes,2,school_bus,10-May,47,55,58,53.33
204,male,group D,high school,standard,none,married,,yes,4,school_bus,< 5,64,63,58,61.67
206,male,group D,,standard,completed,divorced,sometimes,yes,1,school_bus,< 5,75,69,72,72.00
207,male,group C,some college,free/reduced,completed,married,sometimes,,3,private,,71,76,68,71.67
208,female,group C,some college,standard,,divorced,never,yes,2,private,< 5,74,93,87,84.67
209,female,group D,master's degree,free/reduced,completed,divorced,sometimes,no,5,,> 10,57,69,77,67.67
210,male,group C,high school,standard,none,married,sometimes,yes,3,school_bus,10-May,71,76,67,71.33
